fid,habitat type,area_km2
"157",gree,0.0211310369856581
"158",gree,0.0213701389565542
"159",gree,0.0281983027598299
"160",fore,0.0764261039079279
"161",rude,0.0379972554951087
"162",gard,0.608463941554874
"163",gard,0.442382439303
"164",rude,0.097441897164952
"165",fore,0.0854350817710161
"166",bind,0.0164894376349002
"167",gree,0.0523525902517233
"168",infr,0.0397994102574121
"169",rude,0.0168387546397746
"170",bhig,0.221838347902432
"171",rude,0.0233090091731176
"172",gard,0.00383497411517799
"173",gard,0.295796825922478
"174",brur,0.00791198254531249
"175",agro,0.0248918012642115
"176",fore,0.177486239442587
"177",fore,0.0331177652238756
"178",bhig,0.0287161928352267
"179",brur,0.228232275604746
"180",bhig,0.00467803761415184
"181",rude,0.0405901291987635
"182",gree,0.00956008476291597
"183",agro,0.0921365920268148
"184",infr,0.00583867300501466
"185",rude,0.0101596448802091
"186",rude,0.00275355117746443
"187",rude,0.00149864957279339
"188",infr,0.0247374619370466
"189",gree,0.00745261766346544
"190",bhig,0.00386431292130984
"191",gree,0.28882169066445
"192",bhig,0.125638238231001
"193",tran,0.0141455007515401
"194",bhig,0.192175021453042
"195",bvil,0.0261159426440895
"196",bvil,0.020288685446538
"197",bind,0.0456394880125672
"198",bhig,0.00271372347006202
"199",bhig,0.251855855305284
"200",bhig,0.0126071684272066
"201",bvil,0.0192653661182523
"202",gree,0.00762879382954538
"203",tran,0.0382667729098406
"204",bhig,0.0228268626156822
"205",bhig,0.195416044124961
"206",bvil,0.0081735930775702
"207",brur,0.0501859575438686
"208",infr,0.00398131901275739
"209",bhig,0.0821257913455665
"210",bhig,0.146202233550063
"211",bvil,0.0210204511379078
"212",bind,0.0332292416575849
"213",bind,0.0088178304184787
"214",bhig,0.00459047293569148
"215",bhig,0.108323174586624
"216",bvil,0.245647058334135
"217",bvil,0.0183248065367006
"218",bind,0.00485134527392779
"219",tran,0.0631232011827994
"220",bhig,0.0519410656997561
"221",infr,0.00854543653412536
"222",brur,0.059198669932317
"223",bhig,0.157290509465382
"224",gree,0.0233100371201932
"225",rude,0.0583623718422241
"226",infr,0.0425023899204377
"227",bind,0.0488333585481048
"228",infr,0.0239643697158098
"229",bind,0.0419306364623308
"230",bind,0.0429938331083767
"231",bind,0.0954507603918016
"232",rude,0.0066488392867744
"233",bind,0.0931557126618193
"234",mead,0.00399584497709316
"236",gree,0.147814989621886
"237",bind,0.00791970615679026
"238",rude,0.022593879632242
"239",tran,0.0332804112854935
"240",bind,0.00841993224645406
"241",infr,0.018590438065663
"242",bhig,0.0147984043349735
"243",rude,0.0304119636334432
"244",bvil,0.00865490640362352
"245",bind,0.00596299842905626
"246",bvil,0.0295127187204584
"247",bind,0.00638000316344202
"248",rude,0.0618721838142835
"249",bvil,0.0560612400141656
"250",bvil,0.00565544720163569
"251",bind,0.71933026906234
"252",tran,0.000355687381887808
"253",bvil,0.19166764882428
"254",tran,0.0566242565378873
"255",bcen,0.0289315608917922
"256",bind,0.327690043045865
"257",bind,0.200553976864368
"258",bvil,0.0291946555012539
"259",bind,0.0238327149924189
"260",gree,0.0729414602633715
"261",gree,0.0555389609091505
"262",rude,0.0126489547838941
"263",gree,0.052491572763864
"264",gree,0.0132991773256958
"265",bind,0.0260170118230805
"266",tran,0.0668718052406283
"267",bind,0.0556313845148906
"268",infr,0.0052319141549468
"269",rude,0.03548958594523
"270",bhig,0.0513264226010907
"271",bind,0.0140727815656289
"272",bvil,0.276836975311939
"273",bind,0.0119831409727633
"274",gree,0.00904756748478115
"275",rude,0.0540480903722271
"276",rude,0.143607511917081
"277",bvil,0.183881781405872
"278",mead,0.579969176903386
"279",rude,0.0478660115556866
"280",mead,0.0608092747473195
"281",rude,0.0285285828844309
"282",rude,0.0498659381096065
"283",agro,0.00372839527000487
"284",agro,0.00687809191597998
"285",mead,0.00840821273754537
"286",brur,0.0524436842107903
"287",brur,0.161076800004303
"288",agro,0.031296575041458
"289",ceme,0.0108367955815196
"290",mead,0.0197066839419901
"291",rude,0.00319628648893535
"292",brur,0.298874890510756
"293",agro,0.0315290571249947
"294",agro,0.0501859568764791
"295",agro,0.0193019224681705
"296",brur,0.16051433749695
"297",rude,0.0477370205277726
"298",rude,0.0977728518577777
"299",mead,0.0586879944228865
"300",mead,0.101372953359678
"301",fore,0.0419667152315974
"302",fore,0.0268100698854644
"303",gree,0.170311916590169
"304",gree,0.0862076221314874
"305",gard,0.0443813599290214
"306",rude,0.0958370287024081
"307",fore,0.0241055607200265
"308",gard,0.0322452528255172
"309",bvil,0.360321420744088
"310",bvil,0.186143702985745
"311",infr,0.00659618929054588
"312",bhig,0.114835419047389
"313",ceme,0.0181648151528798
"314",bind,0.0896907405248284
"315",bvil,0.0953658251396194
"316",gree,0.028480181427829
"317",agro,0.0433242041814998
"318",agro,0.0667477636882663
"319",agro,0.0181047459118962
"320",rude,0.13109785582622
"321",bind,0.00834151148371771
"322",mead,0.0196365487561673
"323",mead,0.0623949552536104
"324",rude,0.0216831199875362
"325",mead,0.0908823758290298
"326",agro,0.0254077186842095
"327",rude,0.0863955933039729
"328",mead,0.073798839855317
"329",brur,0.0604347529747561
"330",rude,0.0340164344729483
"331",wate,0.0085442527103126
"332",agro,0.122564081608983
"333",rude,0.0390970731952265
"334",bind,0.00718057712525874
"335",rude,0.0136592845688425
"336",fore,0.00817705798529834
"337",fore,0.705873176416487
"338",fore,0.135407898965232
"340",rude,0.03145341011234
"342",bind,0.0314763007111549
"343",rude,0.0120747468513218
"344",infr,0.00912489867035299
